Timestamp,How important are breasts to you when evaluating a potential romantic partner?  ,How important are buttocks to you when evaluating a potential romantic partner?  ,How important is intelligence to you in a partner?  ,How important is overall sexiness to you in a partner?,"To what extent do you agree with this statement: ""Everyone should have an equal chance and an equal say in society.""","To what extent do you agree with this statement: ""I like to possess things or achievements that impress others.""",What is your gender identity? ,What is your age? (Optional),What country are you from? (Optional),  What is your current relationship status? (Optional)  
9/18/2026 6:21:41,4,3,5,4,4,4,Male,54,India,Married
9/20/2026 0:03:47,2,2,4,3,5,2,Male,20,United States,Single
9/19/2026 14:31:16,4,4,5,3,5,4,Male,,,
9/19/2026 2:31:24,5,5,3,5,3,5,Male,,,Single
9/18/2026 16:09:03,5,5,1,5,1,5,Non-binary,67,Brazil,Married
9/18/2026 14:44:03,3,3,4,3,5,2,Male,20,India ,In a romantic relationship
9/18/2026 9:06:02,3,4,5,3,5,2,Male,,,In a romantic relationship
9/18/2026 2:23:22,2,2,3,4,4,4,Male,17,Japan,Single
9/17/2026 17:55:49,4,2,3,4,5,5,Male,22,france,In a romantic relationship
9/17/2026 17:20:42,3,3,3,3,5,3,Male,35,Egypt,Single
9/17/2026 15:01:12,2,2,4,2,5,5,Female,21,,Single
9/17/2026 13:25:14,2,2,4,3,5,5,Male,23,Belgium,Single
9/16/2026 9:04:21,1,3,5,4,4,2,Male,29,Uk,Married
9/15/2026 22:29:43,3,4,5,5,5,5,Male,29,USA,Single
9/15/2026 14:44:09,4,4,5,5,3,4,Male,25,,
9/15/2026 4:32:39,5,2,4,5,3,3,Male,35,France,Single
9/14/2026 20:00:48,5,5,3,5,5,5,Male,38,India,Single
9/14/2026 17:49:08,4,4,4,4,2,5,Male,25,Hungary,Single
9/14/2026 7:56:36,1,2,5,4,3,4,Female,22,,In a romantic relationship
9/14/2026 0:06:41,1,3,5,4,5,4,Male,26,United States,In a romantic relationship
9/13/2026 1:43:05,4,4,3,4,2,4,Male,,,Single
9/12/2026 21:22:54,4,4,4,4,2,3,Male,32,USA,Married
9/12/2026 20:22:40,3,4,5,3,1,1,Female,16,,In a romantic relationship
9/12/2026 15:00:33,3,3,5,3,5,3,Prefer not to say,,,Single
9/12/2026 6:36:57,4,4,5,5,4,3,Male,37,greece,Married
9/12/2026 2:02:43,3,4,4,4,4,4,Female,,us,Single
9/11/2026 19:30:12,4,4,3,4,3,4,Prefer not to say,25,,
9/11/2026 16:06:25,4,3,5,2,5,1,Male,,,Married
9/11/2026 15:56:51,5,5,5,5,4,5,Male,23,Vietnam,In a romantic relationship
9/11/2026 11:05:10,2,4,5,4,3,4,Male,21,Netherlands,Single
9/11/2026 9:43:28,3,3,4,4,4,4,Male,39,Poland,In a romantic relationship
9/11/2026 6:36:39,3,5,5,5,3,4,Male,,,Married
9/10/2026 19:45:20,3,2,5,4,5,4,Male,,,In a romantic relationship
9/10/2026 19:33:14,3,4,4,4,3,5,Male,22,Indo,Single
9/10/2026 16:23:56,3,3,4,3,3,1,Male,44,UK,Single
9/10/2026 14:09:09,2,2,5,5,5,2,Male,100,United States,Married
9/10/2026 13:54:14,4,4,4,4,3,5,Male,29,Germany,Single
9/10/2026 12:48:42,3,3,5,4,5,3,Male,24,The Netherlands,Single
9/10/2026 10:37:52,5,5,3,5,2,3,Male,28,,Married
9/10/2026 5:00:55,3,4,4,3,5,1,Male,,,Married
9/9/2026 19:56:34,2,2,5,4,5,2,Prefer not to say,,,In a romantic relationship
9/9/2026 15:14:28,3,2,4,4,2,4,Male,22,India,In a romantic relationship
9/9/2026 13:36:37,5,5,4,5,5,3,Female,24,France,Single
9/9/2026 3:15:43,5,5,5,5,5,3,Male,,,In a romantic relationship
9/9/2026 0:36:06,2,5,4,3,2,5,Male,22,,Single
9/8/2026 14:22:40,4,4,4,4,3,4,Female,21,,Single
9/8/2026 9:24:27,4,3,5,4,5,2,Male,21,,Single
9/8/2026 4:44:08,4,3,4,3,3,4,Male,,,Single
9/8/2026 4:00:02,3,3,5,4,5,5,Male,21,India,Single
9/8/2026 0:26:25,3,3,4,4,3,4,Female,,,Single
9/7/2026 19:04:24,1,4,5,3,5,5,Male,18,Turkmenistan ,Single
9/7/2026 19:04:11,3,3,5,4,5,3,Male,,,Married
9/7/2026 18:16:37,1,1,4,4,3,2,Male,,,In a romantic relationship
9/7/2026 16:34:53,4,4,5,5,5,4,Male,21,india,Single
9/7/2026 15:40:10,3,3,4,4,4,4,Male,,,In a romantic relationship
9/7/2026 9:46:25,4,4,4,5,3,3,Male,35,brazil,In a romantic relationship
9/6/2026 22:14:09,3,2,5,3,2,1,Male,26,,In a romantic relationship
9/6/2026 16:11:10,3,4,5,3,5,4,Male,,,Married
9/6/2026 7:38:02,4,3,4,5,5,2,Male,24,India,Single
9/6/2026 1:56:57,5,4,4,5,4,4,Male,22,,
9/6/2026 1:42:26,1,5,4,5,5,3,Male,18,"Australia, orignally from Vietnam",Single
9/5/2026 18:08:21,4,1,5,4,5,4,Female,19,Ukraine,Single
9/5/2026 17:55:56,3,4,5,5,2,4,Male,22,England,Single
9/5/2026 16:58:16,2,2,5,4,4,1,Male,22,Iran,Single
9/5/2026 14:21:09,4,2,5,3,4,2,Male,23,,Single
9/5/2026 4:41:39,3,3,4,5,3,4,Male,19,usa,Single
9/5/2026 3:42:37,4,2,4,5,4,3,Male,29,,Single
9/4/2026 21:41:54,4,4,4,5,4,3,Male,,,
9/4/2026 20:47:27,1,4,5,4,3,4,Male,,,
9/4/2026 18:41:30,3,3,5,4,4,5,Male,30,US,Single
9/4/2026 16:32:37,4,5,5,4,4,4,Male,27,Italy,In a romantic relationship
9/4/2026 14:50:15,2,2,5,4,2,2,Male,35,USA,Married
9/4/2026 0:50:13,1,1,5,2,5,5,Female,17,Mexico,Single
9/3/2026 15:32:11,4,4,5,5,3,2,Male,18,spain,Single
9/3/2026 14:46:31,4,2,4,4,5,1,Male,,,Single
9/2/2026 18:25:44,3,3,4,5,4,3,Male,,,In a romantic relationship
9/2/2026 17:56:58,3,5,5,4,5,3,Male,30,USA,Married
9/2/2026 17:16:40,1,2,5,3,5,4,Male,22,,In a romantic relationship
9/2/2026 10:28:36,4,5,3,5,3,4,Male,36,,Single
9/2/2026 8:36:06,2,4,5,4,4,1,Non-binary,40,france,In a romantic relationship
9/2/2026 7:33:42,2,3,5,3,5,3,Male,25,,Single
9/2/2026 0:46:40,4,4,5,4,5,5,Male,22,,In a romantic relationship
9/1/2026 20:03:17,2,2,4,3,4,1,Male,25,,Single
9/1/2026 17:29:27,4,4,5,4,4,3,Male,,,
9/1/2026 15:06:47,5,3,3,5,3,3,Male,28,India,Single
9/1/2026 15:06:04,2,2,4,3,5,2,Male,32,,In a romantic relationship
9/1/2026 5:26:35,5,4,3,5,5,5,Male,32,india,In a romantic relationship
9/1/2026 1:13:28,1,1,5,5,4,1,Male,21,New Zealand,In a romantic relationship
8/31/2026 21:13:05,4,3,3,4,4,5,Male,15,Estonia,Single
8/31/2026 19:44:01,3,3,3,4,5,2,Male,22,United States,In a romantic relationship
8/31/2026 17:44:39,4,4,5,5,5,2,Male,39,USA,Married
8/31/2026 16:43:30,3,3,5,3,5,3,Male,21,India,In a romantic relationship
8/31/2026 16:05:16,2,2,4,4,4,5,Male,21,United States,Single
8/31/2026 14:09:39,1,1,5,4,5,3,Female,,,
8/31/2026 13:32:05,1,3,5,3,3,2,Prefer not to say,30,United Kingdom,Single
8/31/2026 12:29:40,2,3,5,4,5,3,Female,25,USA,In a romantic relationship
8/31/2026 9:26:18,1,3,5,3,3,1,Male,,,
8/31/2026 2:23:20,3,4,4,4,4,2,Male,49,United Kingdom,In a romantic relationship
8/30/2026 17:35:03,5,3,5,5,5,5,Male,,Australia,Single
8/30/2026 14:13:07,3,3,5,4,4,4,Male,,,In a romantic relationship
8/30/2026 14:05:23,3,3,4,3,4,3,Male,,,Single
8/30/2026 12:37:11,3,5,5,5,3,5,Male,19,UK,In a romantic relationship
8/30/2026 0:12:22,5,4,3,5,5,5,Male,14,,Single
